layer,probe,real,f5tts,xtts,cosyvoice3,chatterbox,indextts,dP_real,dP_f5tts,dP_xtts,dP_cosyvoice3,dP_chatterbox,dP_indextts,margin,top_class,target_aligned,margin_ci_lo,margin_ci_hi,S_cosyvoice3,S_f5tts,S_indextts,delta_target,delta_ci_lo,delta_ci_hi,S_target,S_ci_lo,S_ci_hi,dP_f5tts_lo,dP_f5tts_hi,S_f5tts_lo,S_f5tts_hi,dP_cosyvoice3_lo,dP_cosyvoice3_hi,S_cosyvoice3_lo,S_cosyvoice3_hi
17,resynth_dac,0.13941018766756033,0.03485254691689008,0.04289544235924933,0.5522788203753352,0.17962466487935658,0.05093833780160858,-0.05361930294906164,-0.008042895442359248,0.002680965147453085,0.04021447721179627,0.01072386058981234,0.008042895442359248,0.029490616621983934,cosyvoice3,False,5.88938620094126e-17,0.06486486486486484,0.029490616621983934,-0.04825737265415552,-0.032171581769437026,,,,,,,-0.024865331491712706,0.005405771625283821,-0.08743169398907097,-0.018614558707643884,0.002659222672520617,0.07547169811320753,-0.02659751773049649,0.0638297872340425
17,resynth_hift3,0.1769436997319035,0.04289544235924933,0.08042895442359249,0.5308310991957105,0.15281501340482573,0.0160857908847185,-0.01608579088471848,0.0,0.040214477211796246,0.018766756032171594,-0.01608579088471851,-0.02680965147453083,0.02144772117962465,xtts,False,4.163336342344337e-17,0.0698971828536649,-0.02144772117962465,-0.040214477211796246,-0.06702412868632708,0.018766756032171594,-0.026183190816284216,0.06183212329362664,-0.02144772117962465,-0.07693850267379675,0.03734850948509482,,,,,,,,
17,resynth_s3vc3,0.12332439678284182,0.03753351206434316,0.08847184986595175,0.6085790884718498,0.13404825737265416,0.00804289544235925,-0.06970509383378015,-0.00536193029490617,0.0482573726541555,0.09651474530831095,-0.034852546916890076,-0.03485254691689008,0.048257372654155445,cosyvoice3,True,0.002659398103730444,0.12998211665443876,0.048257372654155445,-0.10187667560321712,-0.13136729222520102,0.09651474530831095,0.029887264982373644,0.15904327005792285,0.048257372654155445,-0.04359673024523161,0.1338880500431406,,,,,,,,
18,clean_real,0.2064343163538874,0.03753351206434316,0.03485254691689008,0.4959785522788204,0.17962466487935658,0.045576407506702415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,resynth_vocos,0.16085790884718498,0.06702412868632708,0.064343163538874,0.5415549597855228,0.14745308310991956,0.01876675603217158,-0.045576407506702415,0.02949061662198392,0.029490616621983913,0.04557640750670244,-0.03217158176943702,-0.026809651474530835,0.016085790884718523,cosyvoice3,False,1.3877787807814457e-17,0.06383571386238378,0.016085790884718523,-0.016085790884718523,-0.07238605898123328,0.02949061662198392,0.01595744680851064,0.04473979308429384,-0.016085790884718523,-0.06614158554766292,0.010639720104676299,,,,,,,,
18,resynth_bigvgan,0.1554959785522788,0.040214477211796246,0.03753351206434316,0.5361930294906166,0.1769436997319035,0.05361930294906166,-0.050938337801608585,0.002680965147453085,0.002680965147453078,0.04021447721179627,-0.002680965147453085,0.008042895442359248,0.032171581769437026,cosyvoice3,False,0.002638176164654835,0.06236386965991676,0.032171581769437026,-0.03753351206434319,-0.032171581769437026,0.008042895442359248,-0.002833106157205878,0.02150537634408602,-0.032171581769437026,-0.0686813186813187,0.0,-0.010667379679144386,0.016531214944712803,-0.07713280141843977,-0.0026806076854334338,0.00799946808510639,0.0756767341754287,-0.00811548943901893,0.06417112299465244
18,resynth_griffinlim,0.15013404825737264,0.13136729222520108,0.03753351206434316,0.4772117962466488,0.15281501340482573,0.05093833780160858,-0.056300268096514755,0.09383378016085792,0.002680965147453078,-0.018766756032171594,-0.02680965147453085,0.005361930294906163,0.08847184986595175,f5tts,True,0.0397825493585661,0.13071081081081076,-0.11260053619302951,0.08847184986595175,-0.08847184986595175,0.09383378016085792,0.058977290648162754,0.13565643133462282,0.08847184986595175,0.03660664020717222,0.13045260156806843,,,,,,,,
18,resynth_glvocos,0.16085790884718498,0.11528150134048257,0.032171581769437,0.48257372654155495,0.15281501340482573,0.05630026809651475,-0.045576407506702415,0.0777479892761394,-0.002680965147453085,-0.013404825737265424,-0.02680965147453085,0.010723860589812333,0.06702412868632707,f5tts,True,0.02399840425531915,0.10656467549966316,-0.09115281501340483,0.06702412868632707,-0.06702412868632707,0.0777479892761394,0.04544550277308898,0.11358553090810229,0.06702412868632707,0.02431943337439316,0.1064115762983299,,,,,,,,
18,resynth_encodec,0.18230563002680966,0.09919571045576407,0.15281501340482573,0.4772117962466488,0.08579088471849866,0.002680965147453083,-0.024128686327077736,0.06166219839142091,0.11796246648793565,-0.018766756032171594,-0.09383378016085792,-0.04289544235924933,0.05630026809651474,xtts,False,0.00536193029490617,0.11640534262485482,-0.13672922252010725,-0.05630026809651474,-0.16085790884718498,,,,,,,0.03183023872679046,0.09383378016085792,-0.11685216234967623,0.0026455026455026454,-0.08183267370272646,0.04054328718962862,-0.23809853581321722,-0.045819022983508706
18,resynth_dac,0.1447721179624665,0.03485254691689008,0.032171581769437,0.5522788203753352,0.18498659517426275,0.05093833780160858,-0.0616621983914209,-0.002680965147453078,-0.002680965147453085,0.05630026809651478,0.00536193029490617,0.005361930294906163,0.05093833780160861,cosyvoice3,False,0.002680785938552854,0.09678071472045906,0.05093833780160861,-0.05898123324396786,-0.05093833780160862,,,,,,,-0.01617469813512151,0.01089992704099105,-0.11376595928226367,-0.010553395361755315,0.011165593879038122,0.09815632183908045,-0.005393427327389575,0.08993057370012321
