layer,probe,real,f5tts,xtts,cosyvoice3,chatterbox,indextts,dP_real,dP_f5tts,dP_xtts,dP_cosyvoice3,dP_chatterbox,dP_indextts,margin,top_class,target_aligned,margin_ci_lo,margin_ci_hi,S_cosyvoice3,S_f5tts,S_indextts,delta_target,delta_ci_lo,delta_ci_hi,S_target,S_ci_lo,S_ci_hi,dP_f5tts_lo,dP_f5tts_hi,S_f5tts_lo,S_f5tts_hi,dP_cosyvoice3_lo,dP_cosyvoice3_hi,S_cosyvoice3_lo,S_cosyvoice3_hi
6,resynth_vocos,0.4343163538873995,0.11528150134048257,0.07238605898123325,0.1554959785522788,0.1447721179624665,0.0777479892761394,-0.0616621983914209,0.09919571045576407,0.04021447721179625,0.024128686327077736,-0.06434316353887398,-0.03753351206434316,0.05898123324396782,f5tts,True,0.0026666666666666644,0.13904833943146636,-0.07506702412868634,0.05898123324396782,-0.13672922252010722,0.09919571045576407,0.04096979806460165,0.16671122994652404,0.05898123324396782,-0.016051547295520302,0.13283006215940055,,,,,,,,
6,resynth_bigvgan,0.4745308310991957,0.021447721179624665,0.03753351206434316,0.1447721179624665,0.20911528150134048,0.1126005361930295,-0.02144772117962468,0.005361930294906166,0.005361930294906163,0.013404825737265424,0.0,-0.002680965147453071,0.008042895442359258,cosyvoice3,False,0.0,0.03476168800447305,0.008042895442359258,-0.008042895442359258,-0.016085790884718495,-0.002680965147453071,-0.026251926842478023,0.021681689642983393,-0.016085790884718495,-0.05121639833903987,0.008277550872881005,-0.005305039787798407,0.016348773841961855,-0.04001351351351351,0.008021928001032238,-0.013157894736842118,0.04339062889236133,-0.026599300261690734,0.03675025450314754
6,resynth_griffinlim,0.6568364611260054,0.05093833780160858,0.06970509383378017,0.0160857908847185,0.002680965147453083,0.2037533512064343,0.16085790884718498,0.034852546916890076,0.03753351206434317,-0.11528150134048258,-0.2064343163538874,0.08847184986595175,0.05093833780160858,indextts,False,0.002695056473699796,0.10528409884126759,-0.20375335120643434,-0.05361930294906167,0.05093833780160858,0.034852546916890076,0.0,0.0804452575900297,-0.05361930294906167,-0.12466142632248602,0.01886919938806732,,,,,,,,
6,resynth_glvocos,0.7372654155495979,0.01876675603217158,0.064343163538874,0.005361930294906166,0.010723860589812333,0.16353887399463807,0.24128686327077753,0.0026809651474530814,0.032171581769437,-0.1260053619302949,-0.19839142091152814,0.0482573726541555,0.016085790884718502,indextts,False,1.3877787807814457e-17,0.06754252540937322,-0.1742627345844504,-0.045576407506702415,0.016085790884718502,0.0026809651474530814,-0.01600106951871658,0.021798365122615803,-0.045576407506702415,-0.09434333679988113,-0.01587092731829574,,,,,,,,
6,resynth_encodec,0.5442359249329759,0.040214477211796246,0.3297587131367292,0.040214477211796246,0.002680965147453083,0.04289544235924933,0.04825737265415553,0.024128686327077747,0.2975871313672922,-0.09115281501340483,-0.2064343163538874,-0.07238605898123324,0.27345844504021444,xtts,False,0.1513490801726096,0.38584167677473735,-0.38873994638069703,-0.27345844504021444,-0.36997319034852544,,,,,,,-0.016173599475486265,0.08424486879516645,-0.38608920431514493,-0.15236609795433328,-0.14521415648192593,-0.03763188618870535,-0.5200053908355795,-0.25932594445402796
6,resynth_dac,0.5361930294906166,0.01876675603217158,0.024128686327077747,0.16353887399463807,0.1876675603217158,0.06970509383378017,0.04021447721179627,0.0026809651474530814,-0.008042895442359251,0.03217158176943699,-0.02144772117962468,-0.0455764075067024,0.02949061662198391,cosyvoice3,False,0.002666666666666662,0.061522393048128315,0.02949061662198391,-0.02949061662198391,-0.07774798927613939,,,,,,,-0.005347593582887701,0.01337078086366511,-0.06149732620320855,0.0,0.0027244264268255886,0.0640216216216216,-1.0495077029659678e-17,0.05805870161177708
6,resynth_hift3,0.4450402144772118,0.05093833780160858,0.045576407506702415,0.16353887399463807,0.23324396782841822,0.06166219839142091,-0.05093833780160856,0.034852546916890076,0.013404825737265418,0.03217158176943699,0.024128686327077736,-0.053619302949061656,0.002680965147453085,f5tts,False,0.0,0.05835931768158471,-0.002680965147453085,0.002680965147453085,-0.08847184986595173,0.03217158176943699,-0.010698077756901275,0.0783836885666154,-0.002680965147453085,-0.07242337320591087,0.04558875883665002,,,,,,,,
6,resynth_s3vc3,0.06702412868632708,0.0160857908847185,0.013404825737265416,0.5630026809651475,0.3163538873994638,0.024128686327077747,-0.4289544235924933,0.0,-0.01876675603217158,0.43163538873994645,0.10723860589812331,-0.09115281501340482,0.32439678284182316,cosyvoice3,True,0.18546633941093973,0.45135789014821265,0.32439678284182316,-0.43163538873994645,-0.5227882037533512,0.43163538873994645,0.3588062459216388,0.5123677701674276,0.32439678284182316,0.19998652291105118,0.44475230083405226,,,,,,,,
7,clean_real,0.4101876675603217,0.03753351206434316,0.045576407506702415,0.13404825737265416,0.2064343163538874,0.16621983914209115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,resynth_vocos,0.40482573726541554,0.15013404825737264,0.08847184986595175,0.1447721179624665,0.10723860589812333,0.10455764075067024,-0.00536193029490617,0.11260053619302948,0.04289544235924933,0.01072386058981234,-0.09919571045576407,-0.06166219839142091,0.06970509383378015,f5tts,True,0.010495155499805354,0.13757051029778303,-0.10187667560321714,0.06970509383378015,-0.1742627345844504,0.11260053619302948,0.05961656778729949,0.1684819997446772,0.06970509383378015,0.0027161231884057957,0.13564069222608593,,,,,,,,
