ssl,setting,method,class,recall,recall_change_vs_uniform
w2vbert,6way,tiebreak_distance,cosyvoice3,0.5442359249329759,0.002680965147453085
w2vbert,6way,tiebreak_distance,chatterbox,0.7935656836461126,-0.02680965147453085
w2vbert,6way,tiebreak_distance,indextts,0.7962466487935657,0.02144772117962468
w2vbert,6way,inverse_distance,real,0.6970509383378016,0.05630026809651478
w2vbert,6way,inverse_distance,f5tts,0.9597855227882037,0.01608579088471851
w2vbert,6way,inverse_distance,xtts,0.9892761394101877,0.008042895442359255
w2vbert,6way,inverse_distance,cosyvoice3,0.546916890080429,0.00536193029490617
w2vbert,6way,inverse_distance,chatterbox,0.7935656836461126,-0.02680965147453085
w2vbert,6way,inverse_distance,indextts,0.7962466487935657,0.02144772117962468
w2vbert,ttsonly,uniform,f5tts,0.938337801608579,0.0
w2vbert,ttsonly,uniform,xtts,0.938337801608579,0.0
w2vbert,ttsonly,uniform,cosyvoice3,0.579088471849866,0.0
w2vbert,ttsonly,uniform,chatterbox,0.8337801608579088,0.0
w2vbert,ttsonly,uniform,indextts,0.8150134048257373,0.0
w2vbert,ttsonly,tiebreak_distance,f5tts,0.9410187667560321,0.002680965147453085
w2vbert,ttsonly,tiebreak_distance,xtts,0.9544235924932976,0.01608579088471851
w2vbert,ttsonly,tiebreak_distance,cosyvoice3,0.5951742627345844,0.0160857908847184
w2vbert,ttsonly,tiebreak_distance,chatterbox,0.8150134048257373,-0.018766756032171594
w2vbert,ttsonly,tiebreak_distance,indextts,0.8310991957104558,0.01608579088471851
w2vbert,ttsonly,inverse_distance,f5tts,0.9410187667560321,0.002680965147453085
w2vbert,ttsonly,inverse_distance,xtts,0.9544235924932976,0.01608579088471851
w2vbert,ttsonly,inverse_distance,cosyvoice3,0.5951742627345844,0.0160857908847184
w2vbert,ttsonly,inverse_distance,chatterbox,0.8150134048257373,-0.018766756032171594
w2vbert,ttsonly,inverse_distance,indextts,0.8310991957104558,0.01608579088471851
