ssl,setting,method,true,pred,rate
wavlm,ttsonly,inverse_distance,cosyvoice3,chatterbox,0.257372654155496
wavlm,ttsonly,inverse_distance,cosyvoice3,indextts,0.08042895442359249
wavlm,ttsonly,inverse_distance,chatterbox,f5tts,0.010723860589812333
wavlm,ttsonly,inverse_distance,chatterbox,xtts,0.029490616621983913
wavlm,ttsonly,inverse_distance,chatterbox,cosyvoice3,0.11528150134048257
wavlm,ttsonly,inverse_distance,chatterbox,chatterbox,0.7721179624664879
wavlm,ttsonly,inverse_distance,chatterbox,indextts,0.07238605898123325
wavlm,ttsonly,inverse_distance,indextts,f5tts,0.002680965147453083
wavlm,ttsonly,inverse_distance,indextts,xtts,0.024128686327077747
wavlm,ttsonly,inverse_distance,indextts,cosyvoice3,0.08579088471849866
wavlm,ttsonly,inverse_distance,indextts,chatterbox,0.09919571045576407
wavlm,ttsonly,inverse_distance,indextts,indextts,0.7882037533512064
hubert,6way,uniform,real,real,0.4316353887399464
hubert,6way,uniform,real,f5tts,0.01876675603217158
hubert,6way,uniform,real,xtts,0.05093833780160858
hubert,6way,uniform,real,cosyvoice3,0.16890080428954424
hubert,6way,uniform,real,chatterbox,0.27882037533512066
hubert,6way,uniform,real,indextts,0.05093833780160858
hubert,6way,uniform,f5tts,real,0.010723860589812333
hubert,6way,uniform,f5tts,f5tts,0.9329758713136729
hubert,6way,uniform,f5tts,xtts,0.032171581769437
hubert,6way,uniform,f5tts,cosyvoice3,0.005361930294906166
hubert,6way,uniform,f5tts,chatterbox,0.01876675603217158
hubert,6way,uniform,f5tts,indextts,0.0
hubert,6way,uniform,xtts,real,0.0160857908847185
hubert,6way,uniform,xtts,f5tts,0.002680965147453083
hubert,6way,uniform,xtts,xtts,0.8954423592493298
hubert,6way,uniform,xtts,cosyvoice3,0.021447721179624665
hubert,6way,uniform,xtts,chatterbox,0.05093833780160858
hubert,6way,uniform,xtts,indextts,0.013404825737265416
hubert,6way,uniform,cosyvoice3,real,0.00804289544235925
hubert,6way,uniform,cosyvoice3,f5tts,0.005361930294906166
hubert,6way,uniform,cosyvoice3,xtts,0.010723860589812333
hubert,6way,uniform,cosyvoice3,cosyvoice3,0.6112600536193029
hubert,6way,uniform,cosyvoice3,chatterbox,0.34316353887399464
hubert,6way,uniform,cosyvoice3,indextts,0.021447721179624665
hubert,6way,uniform,chatterbox,real,0.0160857908847185
hubert,6way,uniform,chatterbox,f5tts,0.010723860589812333
hubert,6way,uniform,chatterbox,xtts,0.0160857908847185
hubert,6way,uniform,chatterbox,cosyvoice3,0.12332439678284182
hubert,6way,uniform,chatterbox,chatterbox,0.8176943699731903
hubert,6way,uniform,chatterbox,indextts,0.0160857908847185
hubert,6way,uniform,indextts,real,0.03485254691689008
hubert,6way,uniform,indextts,f5tts,0.002680965147453083
hubert,6way,uniform,indextts,xtts,0.024128686327077747
hubert,6way,uniform,indextts,cosyvoice3,0.13136729222520108
hubert,6way,uniform,indextts,chatterbox,0.35656836461126007
hubert,6way,uniform,indextts,indextts,0.450402144772118
hubert,6way,tiebreak_distance,real,real,0.4932975871313673
hubert,6way,tiebreak_distance,real,f5tts,0.021447721179624665
hubert,6way,tiebreak_distance,real,xtts,0.06166219839142091
hubert,6way,tiebreak_distance,real,cosyvoice3,0.16353887399463807
hubert,6way,tiebreak_distance,real,chatterbox,0.20107238605898123
hubert,6way,tiebreak_distance,real,indextts,0.058981233243967826
hubert,6way,tiebreak_distance,f5tts,real,0.013404825737265416
hubert,6way,tiebreak_distance,f5tts,f5tts,0.935656836461126
hubert,6way,tiebreak_distance,f5tts,xtts,0.03485254691689008
hubert,6way,tiebreak_distance,f5tts,cosyvoice3,0.002680965147453083
hubert,6way,tiebreak_distance,f5tts,chatterbox,0.010723860589812333
hubert,6way,tiebreak_distance,f5tts,indextts,0.002680965147453083
hubert,6way,tiebreak_distance,xtts,real,0.0160857908847185
hubert,6way,tiebreak_distance,xtts,f5tts,0.002680965147453083
hubert,6way,tiebreak_distance,xtts,xtts,0.9195710455764075
hubert,6way,tiebreak_distance,xtts,cosyvoice3,0.01876675603217158
hubert,6way,tiebreak_distance,xtts,chatterbox,0.03485254691689008
hubert,6way,tiebreak_distance,xtts,indextts,0.00804289544235925
hubert,6way,tiebreak_distance,cosyvoice3,real,0.032171581769437
hubert,6way,tiebreak_distance,cosyvoice3,f5tts,0.005361930294906166
hubert,6way,tiebreak_distance,cosyvoice3,xtts,0.024128686327077747
hubert,6way,tiebreak_distance,cosyvoice3,cosyvoice3,0.6380697050938338
hubert,6way,tiebreak_distance,cosyvoice3,chatterbox,0.26541554959785524
hubert,6way,tiebreak_distance,cosyvoice3,indextts,0.03485254691689008
hubert,6way,tiebreak_distance,chatterbox,real,0.02680965147453083
hubert,6way,tiebreak_distance,chatterbox,f5tts,0.013404825737265416
hubert,6way,tiebreak_distance,chatterbox,xtts,0.01876675603217158
hubert,6way,tiebreak_distance,chatterbox,cosyvoice3,0.13136729222520108
hubert,6way,tiebreak_distance,chatterbox,chatterbox,0.7828418230563002
hubert,6way,tiebreak_distance,chatterbox,indextts,0.02680965147453083
hubert,6way,tiebreak_distance,indextts,real,0.058981233243967826
hubert,6way,tiebreak_distance,indextts,f5tts,0.002680965147453083
hubert,6way,tiebreak_distance,indextts,xtts,0.040214477211796246
hubert,6way,tiebreak_distance,indextts,cosyvoice3,0.10991957104557641
hubert,6way,tiebreak_distance,indextts,chatterbox,0.257372654155496
hubert,6way,tiebreak_distance,indextts,indextts,0.5308310991957105
hubert,6way,inverse_distance,real,real,0.4932975871313673
hubert,6way,inverse_distance,real,f5tts,0.021447721179624665
hubert,6way,inverse_distance,real,xtts,0.06166219839142091
hubert,6way,inverse_distance,real,cosyvoice3,0.16085790884718498
hubert,6way,inverse_distance,real,chatterbox,0.20107238605898123
hubert,6way,inverse_distance,real,indextts,0.06166219839142091
hubert,6way,inverse_distance,f5tts,real,0.013404825737265416
hubert,6way,inverse_distance,f5tts,f5tts,0.935656836461126
hubert,6way,inverse_distance,f5tts,xtts,0.03485254691689008
hubert,6way,inverse_distance,f5tts,cosyvoice3,0.002680965147453083
hubert,6way,inverse_distance,f5tts,chatterbox,0.010723860589812333
hubert,6way,inverse_distance,f5tts,indextts,0.002680965147453083
hubert,6way,inverse_distance,xtts,real,0.0160857908847185
hubert,6way,inverse_distance,xtts,f5tts,0.002680965147453083
hubert,6way,inverse_distance,xtts,xtts,0.9195710455764075
hubert,6way,inverse_distance,xtts,cosyvoice3,0.01876675603217158
hubert,6way,inverse_distance,xtts,chatterbox,0.03485254691689008
hubert,6way,inverse_distance,xtts,indextts,0.00804289544235925
hubert,6way,inverse_distance,cosyvoice3,real,0.032171581769437
hubert,6way,inverse_distance,cosyvoice3,f5tts,0.005361930294906166
hubert,6way,inverse_distance,cosyvoice3,xtts,0.024128686327077747
hubert,6way,inverse_distance,cosyvoice3,cosyvoice3,0.6380697050938338
hubert,6way,inverse_distance,cosyvoice3,chatterbox,0.26541554959785524
hubert,6way,inverse_distance,cosyvoice3,indextts,0.03485254691689008
hubert,6way,inverse_distance,chatterbox,real,0.02680965147453083
hubert,6way,inverse_distance,chatterbox,f5tts,0.0160857908847185
hubert,6way,inverse_distance,chatterbox,xtts,0.01876675603217158
hubert,6way,inverse_distance,chatterbox,cosyvoice3,0.13136729222520108
hubert,6way,inverse_distance,chatterbox,chatterbox,0.7801608579088471
hubert,6way,inverse_distance,chatterbox,indextts,0.02680965147453083
hubert,6way,inverse_distance,indextts,real,0.058981233243967826
hubert,6way,inverse_distance,indextts,f5tts,0.002680965147453083
hubert,6way,inverse_distance,indextts,xtts,0.040214477211796246
hubert,6way,inverse_distance,indextts,cosyvoice3,0.1126005361930295
hubert,6way,inverse_distance,indextts,chatterbox,0.2546916890080429
hubert,6way,inverse_distance,indextts,indextts,0.5308310991957105
hubert,ttsonly,uniform,f5tts,f5tts,0.8793565683646113
hubert,ttsonly,uniform,f5tts,xtts,0.029490616621983913
hubert,ttsonly,uniform,f5tts,cosyvoice3,0.032171581769437
hubert,ttsonly,uniform,f5tts,chatterbox,0.05093833780160858
hubert,ttsonly,uniform,f5tts,indextts,0.00804289544235925
hubert,ttsonly,uniform,xtts,f5tts,0.002680965147453083
hubert,ttsonly,uniform,xtts,xtts,0.9463806970509383
hubert,ttsonly,uniform,xtts,cosyvoice3,0.00804289544235925
hubert,ttsonly,uniform,xtts,chatterbox,0.032171581769437
hubert,ttsonly,uniform,xtts,indextts,0.010723860589812333
hubert,ttsonly,uniform,cosyvoice3,f5tts,0.005361930294906166
hubert,ttsonly,uniform,cosyvoice3,xtts,0.03485254691689008
hubert,ttsonly,uniform,cosyvoice3,cosyvoice3,0.5093833780160858
hubert,ttsonly,uniform,cosyvoice3,chatterbox,0.4128686327077748
hubert,ttsonly,uniform,cosyvoice3,indextts,0.03753351206434316
hubert,ttsonly,uniform,chatterbox,f5tts,0.010723860589812333
hubert,ttsonly,uniform,chatterbox,xtts,0.0160857908847185
hubert,ttsonly,uniform,chatterbox,cosyvoice3,0.1260053619302949
hubert,ttsonly,uniform,chatterbox,chatterbox,0.7935656836461126
hubert,ttsonly,uniform,chatterbox,indextts,0.05361930294906166
hubert,ttsonly,uniform,indextts,f5tts,0.010723860589812333
hubert,ttsonly,uniform,indextts,xtts,0.0160857908847185
hubert,ttsonly,uniform,indextts,cosyvoice3,0.12332439678284182
hubert,ttsonly,uniform,indextts,chatterbox,0.28150134048257375
hubert,ttsonly,uniform,indextts,indextts,0.5683646112600537
hubert,ttsonly,tiebreak_distance,f5tts,f5tts,0.8927613941018767
hubert,ttsonly,tiebreak_distance,f5tts,xtts,0.032171581769437
hubert,ttsonly,tiebreak_distance,f5tts,cosyvoice3,0.02680965147453083
hubert,ttsonly,tiebreak_distance,f5tts,chatterbox,0.03485254691689008
hubert,ttsonly,tiebreak_distance,f5tts,indextts,0.013404825737265416
hubert,ttsonly,tiebreak_distance,xtts,f5tts,0.0
hubert,ttsonly,tiebreak_distance,xtts,xtts,0.9597855227882037
hubert,ttsonly,tiebreak_distance,xtts,cosyvoice3,0.00804289544235925
hubert,ttsonly,tiebreak_distance,xtts,chatterbox,0.021447721179624665
hubert,ttsonly,tiebreak_distance,xtts,indextts,0.010723860589812333
hubert,ttsonly,tiebreak_distance,cosyvoice3,f5tts,0.013404825737265416
hubert,ttsonly,tiebreak_distance,cosyvoice3,xtts,0.03753351206434316
hubert,ttsonly,tiebreak_distance,cosyvoice3,cosyvoice3,0.5683646112600537
hubert,ttsonly,tiebreak_distance,cosyvoice3,chatterbox,0.3136729222520107
hubert,ttsonly,tiebreak_distance,cosyvoice3,indextts,0.06702412868632708
hubert,ttsonly,tiebreak_distance,chatterbox,f5tts,0.00804289544235925
hubert,ttsonly,tiebreak_distance,chatterbox,xtts,0.01876675603217158
hubert,ttsonly,tiebreak_distance,chatterbox,cosyvoice3,0.13941018766756033
