ssl,layer,protocol,k,weighting,macro_f1,same_utt_frac_topk,tie_rate
hubert,17,leave_utt,1,uniform,0.7196984704767564,0.0,0.0
hubert,17,leave_utt,1,distance,0.7196984704767564,0.0,0.0
hubert,17,leave_utt,3,uniform,0.7284832433020876,0.0,0.23109919571045576
hubert,17,leave_utt,3,distance,0.7504647915871955,0.0,0.0
hubert,17,leave_utt,5,uniform,0.7433051528839835,0.0,0.18230563002680966
hubert,17,leave_utt,5,distance,0.7699815439985053,0.0,0.0
hubert,17,leave_utt,7,uniform,0.7626479108519396,0.0,0.14048257372654155
hubert,17,leave_utt,7,distance,0.7793746194584192,0.0,0.0
hubert,17,leave_utt,11,uniform,0.7783033214484417,0.0,0.12171581769436997
hubert,17,leave_utt,11,distance,0.7926109038657205,0.0,0.0
hubert,17,leave_spk,1,uniform,0.6386974598107011,0.0,0.0
hubert,17,leave_spk,1,distance,0.6386974598107011,0.0,0.0
hubert,17,leave_spk,3,uniform,0.6711129871751111,0.0,0.23324396782841822
hubert,17,leave_spk,3,distance,0.6769226426928966,0.0,0.0
hubert,17,leave_spk,5,uniform,0.6822195505729106,0.0,0.19731903485254693
hubert,17,leave_spk,5,distance,0.7052706322893093,0.0,0.0
hubert,17,leave_spk,7,uniform,0.7060508357884395,0.0,0.16085790884718498
hubert,17,leave_spk,7,distance,0.7257051745897993,0.0,0.0
hubert,17,leave_spk,11,uniform,0.7246857515887293,0.0,0.12922252010723861
hubert,17,leave_spk,11,distance,0.7452719807421477,0.0,0.0
hubert,19,loo,1,uniform,0.01614982870363071,0.9882037533512065,0.0
hubert,19,loo,1,distance,0.01614982870363071,0.9882037533512065,0.0
hubert,19,loo,3,uniform,0.03393477691160112,0.9762287756925826,0.9769436997319035
hubert,19,loo,3,distance,0.026942607216360694,0.9762287756925826,0.0
hubert,19,loo,5,uniform,0.13737781978836164,0.7532439678284183,0.5839142091152815
hubert,19,loo,5,distance,0.05819870109991403,0.7532439678284183,0.0
hubert,19,loo,7,uniform,0.3594411727999415,0.542474147836078,0.613941018766756
hubert,19,loo,7,distance,0.16611486125393174,0.542474147836078,0.0
hubert,19,loo,11,uniform,0.5361355629306691,0.3482330002437241,0.3136729222520107
hubert,19,loo,11,distance,0.2563146913693961,0.3482330002437241,0.0
hubert,19,leave_utt,1,uniform,0.6783075336971834,0.0,0.0
hubert,19,leave_utt,1,distance,0.6783075336971834,0.0,0.0
hubert,19,leave_utt,3,uniform,0.651542739088315,0.0,0.33136729222520106
hubert,19,leave_utt,3,distance,0.7065190812896034,0.0,0.0
hubert,19,leave_utt,5,uniform,0.6769372166300672,0.0,0.23056300268096513
hubert,19,leave_utt,5,distance,0.7212003306381776,0.0,0.0
hubert,19,leave_utt,7,uniform,0.7222468082845459,0.0,0.21018766756032173
hubert,19,leave_utt,7,distance,0.7547915241352563,0.0,0.0
hubert,19,leave_utt,11,uniform,0.7351866824656611,0.0,0.1672922252010724
hubert,19,leave_utt,11,distance,0.7653350925634933,0.0,0.0
hubert,19,leave_spk,1,uniform,0.59370220464091,0.0,0.0
hubert,19,leave_spk,1,distance,0.59370220464091,0.0,0.0
hubert,19,leave_spk,3,uniform,0.6036278954014846,0.0,0.3281501340482574
hubert,19,leave_spk,3,distance,0.634554100106083,0.0,0.0
hubert,19,leave_spk,5,uniform,0.6452567779466454,0.0,0.225201072386059
hubert,19,leave_spk,5,distance,0.6629459950377825,0.0,0.0
hubert,19,leave_spk,7,uniform,0.6561835477357973,0.0,0.20160857908847185
hubert,19,leave_spk,7,distance,0.6859043405018951,0.0,0.0
hubert,19,leave_spk,11,uniform,0.6838091389544635,0.0,0.15227882037533513
hubert,19,leave_spk,11,distance,0.7059973674324663,0.0,0.0
hubert,21,loo,1,uniform,0.02390697427220528,0.9844504021447721,0.0
hubert,21,loo,1,distance,0.02390697427220528,0.9844504021447721,0.0
hubert,21,loo,3,uniform,0.03377811054958685,0.9749776586237712,0.9774798927613941
hubert,21,loo,3,distance,0.032046412254664286,0.9749776586237712,0.0
hubert,21,loo,5,uniform,0.1677320380528365,0.7535656836461126,0.6348525469168901
hubert,21,loo,5,distance,0.06973618895980763,0.7535656836461126,0.0
hubert,21,loo,7,uniform,0.4328537617090241,0.5431635388739945,0.5630026809651475
hubert,21,loo,7,distance,0.21554670367222903,0.5431635388739945,0.0
hubert,21,loo,11,uniform,0.5947205874918533,0.3486229588106263,0.25093833780160857
hubert,21,loo,11,distance,0.32216910750605143,0.3486229588106263,0.0
hubert,21,leave_utt,1,uniform,0.7468609044887605,0.0,0.0
hubert,21,leave_utt,1,distance,0.7468609044887605,0.0,0.0
hubert,21,leave_utt,3,uniform,0.7187454711273117,0.0,0.2686327077747989
hubert,21,leave_utt,3,distance,0.7610042450089001,0.0,0.0
hubert,21,leave_utt,5,uniform,0.743426424227796,0.0,0.19249329758713138
hubert,21,leave_utt,5,distance,0.7831199160325856,0.0,0.0
hubert,21,leave_utt,7,uniform,0.7549189776895007,0.0,0.16300268096514745
hubert,21,leave_utt,7,distance,0.7927077777067739,0.0,0.0
hubert,21,leave_utt,11,uniform,0.7801000873307055,0.0,0.12922252010723861
hubert,21,leave_utt,11,distance,0.8046948953378721,0.0,0.0
hubert,21,leave_spk,1,uniform,0.6331761731687486,0.0,0.0
hubert,21,leave_spk,1,distance,0.6331761731687486,0.0,0.0
hubert,21,leave_spk,3,uniform,0.6488601128237172,0.0,0.2638069705093834
hubert,21,leave_spk,3,distance,0.6602266695919834,0.0,0.0
hubert,21,leave_spk,5,uniform,0.6768133278633777,0.0,0.19785522788203752
hubert,21,leave_spk,5,distance,0.7035250840979861,0.0,0.0
hubert,21,leave_spk,7,uniform,0.6955401396466513,0.0,0.15924932975871314
hubert,21,leave_spk,7,distance,0.7102641672251547,0.0,0.0
hubert,21,leave_spk,11,uniform,0.7215575831680331,0.0,0.13029490616621983
hubert,21,leave_spk,11,distance,0.7385028928759052,0.0,0.0
